2935,0
1968,0
3396,1
1698,0
2864,0
2623,0
457,1
3358,0
2515,0
2707,0
3342,0
1174,1
1052,1
2298,0
1916,0
831,0
779,1
1317,1
228,1
248,1
2477,0
2770,0
1253,1
3354,0
1680,0
2219,0
1825,0
295,1
1047,1
3283,0
2799,0
90,1
662,1
1912,0
3221,0
3269,0
2718,0
1159,1
1970,0
2573,0
2158,0
3140,0
495,1
2901,0
3546,1
2546,0
1738,0
3250,0
2883,0
2847,0
2568,0
2649,0
1650,0
3210,0
1562,0
605,0
817,1
2407,0
3530,0
1514,0
810,1
1881,0
3306,1
3182,0
3369,0
868,1
1316,1
2230,0
3410,0
1897,0
2636,1
1787,0
2171,0
949,1
392,0
2214,0
2498,0
839,1
3282,0
402,1
2045,0
1902,0
150,1
2943,0
3641,0
3143,0
1280,0
2086,1
429,1
1743,0
3067,0
2615,0
2818,0
3391,1
950,1
14,1
3395,0
1886,0
2776,0
1183,1
2848,0
96,0
2895,0
2397,0
2536,0
1200,1
1366,1
1118,1
1211,1
2549,0
3057,0
1288,0
2460,0
1282,1
1057,1
2365,0
2300,0
1008,0
3285,0
3556,0
1531,0
3151,0
3313,0
845,0
761,1
2002,0
2425,0
3287,0
1574,0
1443,1
1955,0
3136,0
2319,0
3086,0
987,1
2837,0
1952,0
162,0
2441,0
1241,1
2256,0
1631,0
3185,0
2556,0
1043,1
2714,0
2572,1
1182,1
894,1
2254,0
2384,0
459,1
3296,0
77,1
1603,0
1546,0
2411,0
3350,0
1535,0
1596,0
3601,0
2456,0
3609,0
3442,0
3026,0
1029,1
3167,0
2609,0
1506,0
500,1
324,0
94,1
863,1
3527,0
1023,1
1364,1
841,1
2812,0
1414,1
3470,0
565,1
2081,0
3459,1
365,1
2716,0
441,1
634,1
3300,0
1394,1
643,1
1901,0
2465,0
2501,0
82,1
3635,0
821,1
433,1
1395,1
2360,0
2922,0
451,1
3125,0
1611,0
3415,0
1565,0
3340,0
722,1
2155,0
1147,1
2937,0
1421,1
3674,0
534,1
2779,0
1409,0
106,1
2315,0
1372,1
3263,1
3548,0
979,1
3535,0
2088,0
340,1
962,1
3261,0
3476,0
526,1
2238,0
3160,0
733,1
1508,0
6,1
1622,0
3505,1
443,1
1354,1
862,1
1410,0
1357,1
1384,1
1529,0
1325,1
3448,0
2927,0
3187,0
1195,1
852,1
3196,0
302,1
1627,0
1736,1
1811,1
2036,0
64,1
1533,0
719,1
1624,0
1246,1
999,1
1993,0
2703,0
3184,0
1500,0
1509,0
2378,0
280,1
278,1
2968,0
350,1
2016,0
3638,0
1212,1
66,1
50,1
3142,0
411,1
690,0
1662,0
2226,0
535,1
2166,0
2421,0
3083,0
2677,0
2870,0
670,1
2112,0
736,1
3000,0
1525,0
3074,0
43,1
1659,0
3602,0
168,1
2858,0
3149,0
2362,0
2345,0
1527,0
491,1
2592,0
642,1
291,1
2666,1
3363,0
1988,1
2828,0
2959,0
2261,0
3028,0
556,1
1059,1
2721,0
2366,0
1082,1
1816,0
536,1
1957,0
1297,1
1040,1
2481,0
1528,0
829,1
2670,0
1162,1
1727,0
2336,0
2500,0
1014,1
529,1
2349,0
753,1
2671,0
996,0
1220,1
2083,0
287,1
315,1
1995,0
3620,0
334,1
183,1
2098,0
3591,0
2151,0
688,1
42,1
3626,0
3439,0
3607,0
276,1
676,1
1857,0
3376,0
1138,1
750,1
909,1
438,1
492,1
1551,0
2190,0
707,1
1573,1
1634,0
3022,0
1673,0
